doc_id,title,brand,category,price,rating,features,ingredients,review_snippets
SAMPLE-001,"EcoShine Steel-Safe Stainless Steel Cleaner Spray 16 oz",EcoShine,"Household Cleaning > Stainless Steel",12.49,4.6,"Plant-based streak-free formula for appliances; safe on brushed and polished stainless steel; biodegradable; fresh citrus scent","Plant-based surfactants, citric acid, coconut-derived cleaning agents, purified water","Leaves zero streaks on my fridge | Smells great and no chemical residue | Best eco cleaner I have tried"
SAMPLE-002,"GreenSteel Naturals Stainless Polish & Cleaner 14 oz",GreenSteel,"Household Cleaning > Stainless Steel",9.99,4.4,"Non-toxic plant-derived polish; removes fingerprints and grease; EPA Safer Choice certified","Coconut-based surfactants, plant-derived polish oils, water","Great value and works well | A little goes a long way"
SAMPLE-003,"SteelPro Max Heavy-Duty Stainless Steel Cleaner 17 oz",SteelPro,"Household Cleaning > Stainless Steel",14.25,4.7,"Industrial-strength aerosol; cuts baked-on grease; protective shine layer; not plant-based","Petroleum distillates, mineral oil, propellant","Strongest cleaner I have used on my grill | Works fast but strong smell"
SAMPLE-004,"PureSpark Eco Stainless Wipes 30 Count",PureSpark,"Household Cleaning > Stainless Steel",7.89,4.2,"Pre-moistened biodegradable wipes; plant-based; convenient for quick touch-ups; compostable cloth","Plant-based cleaning solution, biodegradable cloth, citrus oil","Handy for daily fingerprints | Wipes dry out if not sealed"
SAMPLE-005,"Weiler Classic Stainless Steel Polish 22 oz",Weiler,"Household Cleaning > Stainless Steel",18.99,4.8,"Professional-grade polish and protectant; resists fingerprints for weeks","Mineral oil blend, protective silicones","The gold standard for stainless | Pricey but lasts forever"
SAMPLE-006,"BrightNest Plant-Powered Stainless Cleaner 12 oz",BrightNest,"Household Cleaning > Stainless Steel",11.5,4.1,"Vegan and cruelty-free; phosphate-free; streak-free shine; recyclable bottle","Plant-based surfactants, vinegar, essential oils","Good eco option under budget | Needed two passes on tough grease"
SAMPLE-007,"CrystalView Glass & Mirror Cleaner 26 oz",CrystalView,"Household Cleaning > Glass",6.49,4.5,"Ammonia-free streak-free glass cleaner; safe for tinted windows","Water, alcohol, plant-derived surfactants","Streak free every time | Great on mirrors"
SAMPLE-008,"AquaClear Eco Glass Cleaner Refill 64 oz",AquaClear,"Household Cleaning > Glass",13.99,4.3,"Concentrated refill; biodegradable; makes 4 spray bottles; plant-based","Plant-based surfactants, purified water","Love the refill concept | Cheaper per bottle than brand names"
SAMPLE-009,"ShineBurst All-Purpose Cleaner Lavender 32 oz",ShineBurst,"Household Cleaning > All-Purpose",8.75,4.4,"Multi-surface spray; cuts grease; lavender scent; non-toxic formula","Plant-derived cleaning agents, lavender oil, water","Smells amazing | Works on counters and stovetops"
SAMPLE-010,"MightyClean Pro All-Purpose Degreaser 1 gal",MightyClean,"Household Cleaning > All-Purpose",19.5,4.6,"Commercial-strength degreaser concentrate; dilutes for any job","Alkaline salts, chelating agents, surfactants","Restaurant grade at home | Dilute it or it is too strong"
SAMPLE-011,"PureHome Citrus All-Purpose Spray 28 oz",PureHome,"Household Cleaning > All-Purpose",5.99,4.0,"Everyday cleaner; fresh citrus; safe around kids and pets when used as directed","Citrus extract, plant-based surfactants, water","Cheap and cheerful | Does the basics well"
SAMPLE-012,"EcoNest Bathroom Foam Cleaner 20 oz",EcoNest,"Household Cleaning > Bathroom",9.25,4.2,"Clinging foam for tubs and tile; plant-based; septic-safe; no harsh fumes","Plant-derived surfactants, citric acid, foam stabilizer","No more bleach headaches | Foam clings to vertical tile"
